"Year","State","FUNGICIDE","INSECTICIDE","(NITROGEN)","HERBICIDE","OTHER","(PHOSPHATE)","(POTASH)"
2019,"CALIFORNIA",1.159,1.182,1,0,0,0,0
2019,"WASHINGTON",0.536,0.24,30,0.617,0.323,0,0
2017,"OREGON",9.841,1.255,0,2.81,0,0,0
2017,"WASHINGTON",11.618,1.206,0,3.226,0,0,0
2015,"OREGON",10.432,1.933,41,2.879,0,17,34
2015,"WASHINGTON",11.456,1.897,30,2.005,0,43,42
